tag,week_start,signal_date,entry_date,basket_ret_pct,n_positions,symbols,position_rets,avg_5d,breadth_pos,avg_ret
pre_freeze_short0915_top10,2024-05-28,2024-05-28,2024-05-29,-1.06795446155654,10,"SUMICHEM,NATCOPHARM,HINDALCO,DOMS,VIJAYA,POLICYBZR,IIFL,KARURVYSYA,PAYTM,HEG","-8.3593,-0.2168,-1.5552,1.9579,-1.4324,1.1173,-1.5338,0.8840,-0.0824,-1.4588",0.22377960762607335,27.93791574279379,-0.8176029499060549
pre_freeze_short0915_top10,2024-05-28,2024-05-29,2024-05-30,-0.999994114107851,10,"BRIGADE,CONCORDBIO,PRESTIGE,3MINDIA,EMAMILTD,BLUEDART,CEMPRO,IPCALAB,RRKABEL,INDIACEM","1.0577,-0.7723,-2.4816,-1.5073,-14.8558,-0.6005,-0.1583,3.1212,2.7853,3.4119",-0.05906207424829914,43.45898004434589,-0.04225367042646748
pre_freeze_short0915_top10,2024-05-28,2024-05-30,2024-05-31,-0.3877462898884606,10,"JWL,RRKABEL,CUMMINSIND,IFCI,KFINTECH,LEMONTREE,SCHAEFFLER,MAZDOCK,FORTIS,AWL","-5.2158,0.6078,1.2457,-0.0824,-1.9935,1.3158,2.2177,3.7881,-3.5546,-2.2063",-1.8097970527346066,18.8470066518847,-1.1581869057523044
pre_freeze_short0915_top10,2024-05-28,2024-05-31,2024-06-03,1.5308152282187102,10,"JYOTICNC,VTL,TORNTPOWER,POLYMED,DCMSHRIRAM,DOMS,INDGN,ABSLAMC,BLUEDART,CARTRADE","3.0339,0.5596,-0.1470,3.1470,2.9071,4.3652,-0.2515,-8.7770,1.7126,8.7582",-1.242137015506733,55.210643015521065,0.5427268923328666
pre_freeze_short0915_top10,2024-05-28,2024-06-03,2024-06-04,6.20633199601688,10,"JYOTICNC,SOBHA,BSE,MUTHOOTFIN,SUNDARMFIN,MCX,JKTYRE,BDL,SONACOMS,YESBANK","4.9208,6.3152,5.0794,3.7837,3.6069,11.6146,7.5411,8.9336,3.5420,6.7260",1.1642424384461851,83.37028824833703,2.6965154496982437
pre_freeze_short0915_top10,2024-06-04,2024-06-04,2024-06-05,-4.674662116281792,10,"DABUR,HINDUNILVR,SUNTV,UTIAMC,GABRIEL,PTCIL,TECHNOE,SUZLON,TARIL,KIMS","-2.5984,-2.8064,-4.9542,0.2001,-3.5350,-15.4283,2.4817,-7.1677,-10.5880,-2.3505",-5.291701093691832,7.317073170731707,-7.026636871872939
pre_freeze_short0915_top10,2024-06-04,2024-06-05,2024-06-06,-1.4034249330337307,10,"PRESTIGE,HINDCOPPER,TATAPOWER,TEGA,POLYCAB,NUVAMA,CHOICEIN,PNB,J&KBANK,ADANIGREEN","-5.1109,-4.1811,-0.6276,-2.4583,0.5488,-2.2664,0.1129,-0.6503,-0.0824,0.6810",-1.9837685406412169,88.24833702882484,3.462969712044792
pre_freeze_short0915_top10,2024-06-04,2024-06-06,2024-06-07,-0.5511407266527509,10,"NAVA,AEGISLOG,AIIL,OFSS,UNOMINDA,ERIS,GRANULES,EXIDEIND,ABFRL,GODIGIT","1.2953,2.0054,-7.0325,-2.3420,3.3428,-0.6885,-1.5134,0.9463,-0.8017,-0.7231",1.6849974900919795,82.92682926829268,2.6210051234261855
pre_freeze_short0915_top10,2024-06-04,2024-06-07,2024-06-10,0.8738458906876719,10,"CYIENT,PAYTM,MOTILALOFS,GESHIP,IIFL,IRB,NEWGEN,NUVAMA,AIIL,ARE&M","1.8257,-2.0008,-2.0128,-1.4296,-1.7835,6.5123,0.3338,2.4617,1.6493,3.1823",3.1450983035828277,87.8048780487805,1.9611380435455033
pre_freeze_short0915_top10,2024-06-04,2024-06-10,2024-06-11,0.7555187163437698,10,"PATANJALI,KEC,CEATLTD,FINCABLES,COHANCE,PARADEEP,MOTILALOFS,RAMCOCEM,GPIL,HUDCO","0.2005,-0.2958,0.0780,-0.3382,0.4978,1.3026,1.5383,3.2164,0.9067,0.4487",1.4522418553853162,65.18847006651885,0.9246681978673691
